datetime,symbol,Open,High,Low,Close,Volume
2023-02-01 10:00:00,BMFBOVESPA:IBOV,113429.6,113597.64,110729.47,112073.55,0.0
2023-02-02 10:00:00,BMFBOVESPA:IBOV,112071.61,112943.15,109746.74,110140.64,0.0
2023-02-03 10:00:00,BMFBOVESPA:IBOV,110140.64,110570.22,108184.98,108523.47,0.0
2023-02-06 10:00:00,BMFBOVESPA:IBOV,108517.62,108743.77,107415.53,108721.58,0.0
2023-02-07 10:00:00,BMFBOVESPA:IBOV,108726.78,109037.0,107233.94,107829.73,0.0
2023-02-08 10:00:00,BMFBOVESPA:IBOV,107832.11,110175.02,107830.39,109951.49,0.0
2023-02-09 10:00:00,BMFBOVESPA:IBOV,109951.97,110045.92,107766.59,108008.05,0.0
2023-02-10 10:00:00,BMFBOVESPA:IBOV,108001.55,108646.51,107619.93,108078.27,0.0
2023-02-13 10:00:00,BMFBOVESPA:IBOV,108074.15,109192.91,107419.59,108836.47,0.0
2023-02-14 10:00:00,BMFBOVESPA:IBOV,108838.52,109564.11,107557.07,107848.81,0.0
2023-02-15 10:00:00,BMFBOVESPA:IBOV,107848.81,110209.69,107266.63,109600.14,0.0
2023-02-16 10:00:00,BMFBOVESPA:IBOV,109599.2,110436.98,108377.51,109941.46,0.0
2023-02-17 10:00:00,BMFBOVESPA:IBOV,109941.46,109941.46,108968.48,109176.92,0.0
2023-02-22 13:00:00,BMFBOVESPA:IBOV,109173.51,109173.51,106720.17,107152.05,0.0
2023-02-23 10:00:00,BMFBOVESPA:IBOV,107152.05,108663.34,106731.17,107592.87,0.0
2023-02-24 10:00:00,BMFBOVESPA:IBOV,107581.79,107610.59,105359.92,105798.43,0.0
2023-02-27 10:00:00,BMFBOVESPA:IBOV,105807.2,106402.11,105226.6,105711.05,0.0
2023-02-28 10:00:00,BMFBOVESPA:IBOV,105705.79,106793.71,104931.93,104931.93,0.0
2023-03-01 10:00:00,BMFBOVESPA:IBOV,104933.17,105497.01,103104.81,104384.67,0.0
2023-03-02 10:00:00,BMFBOVESPA:IBOV,104374.89,104912.41,103320.59,103325.61,0.0
2023-03-03 10:00:00,BMFBOVESPA:IBOV,103325.61,104440.12,103322.71,103865.99,0.0
2023-03-06 10:00:00,BMFBOVESPA:IBOV,103864.62,105170.97,103170.44,104700.32,0.0
2023-03-07 10:00:00,BMFBOVESPA:IBOV,104700.02,105178.55,103480.42,104227.93,0.0
2023-03-08 10:00:00,BMFBOVESPA:IBOV,104227.93,106721.24,104227.93,106540.32,0.0
2023-03-09 10:00:00,BMFBOVESPA:IBOV,106539.92,106723.99,105053.24,105071.19,0.0
2023-03-10 10:00:00,BMFBOVESPA:IBOV,105071.19,105071.19,103201.41,103618.2,0.0
2023-03-13 10:00:00,BMFBOVESPA:IBOV,103607.98,103906.78,102254.72,103121.36,0.0
2023-03-14 10:00:00,BMFBOVESPA:IBOV,103121.36,104153.48,102482.23,102932.38,0.0
2023-03-15 10:00:00,BMFBOVESPA:IBOV,102929.7,103048.28,100692.04,102675.45,0.0
2023-03-16 10:00:00,BMFBOVESPA:IBOV,102682.65,103911.26,102454.77,103434.66,0.0
2023-03-17 10:00:00,BMFBOVESPA:IBOV,103433.65,103433.65,101663.65,101981.53,0.0
2023-03-20 10:00:00,BMFBOVESPA:IBOV,101981.53,102328.44,100678.84,100922.89,0.0
